City,Month,Day,Year,AvgTemperature
Brisbane,1,1,1995,76.1
Brisbane,1,2,1995,78.3
Brisbane,1,3,1995,78.6
Brisbane,1,4,1995,78.6
Brisbane,1,5,1995,78.3
Brisbane,1,6,1995,78.1
Brisbane,1,7,1995,77.9
Brisbane,1,8,1995,75.6
Brisbane,1,9,1995,75.2
Brisbane,1,10,1995,75.3
Brisbane,1,11,1995,75.2
Brisbane,1,12,1995,73.3
Brisbane,1,13,1995,73.4
Brisbane,1,14,1995,75.7
Brisbane,1,15,1995,75.2
Brisbane,1,16,1995,76.1
Brisbane,1,17,1995,77.8
Brisbane,1,18,1995,77.3
Brisbane,1,19,1995,76
Brisbane,1,20,1995,78.6
Brisbane,1,21,1995,78.2
Brisbane,1,22,1995,71.4
Brisbane,1,23,1995,72.2
Brisbane,1,24,1995,76.2
Brisbane,1,25,1995,76.9
Brisbane,1,26,1995,75
Brisbane,1,27,1995,75.9
Brisbane,1,28,1995,74.8
Brisbane,1,29,1995,77.1
Brisbane,1,30,1995,81.4
Brisbane,1,31,1995,81.5
Brisbane,2,1,1995,75.2
Brisbane,2,2,1995,75.7
Brisbane,2,3,1995,80.9
Brisbane,2,4,1995,81.4
Brisbane,2,5,1995,80.8
Brisbane,2,6,1995,78.5
Brisbane,2,7,1995,75.1
Brisbane,2,8,1995,74.4
Brisbane,2,9,1995,74.2
Brisbane,2,10,1995,73.5
Brisbane,2,11,1995,71.1
Brisbane,2,12,1995,70.9
Brisbane,2,13,1995,73.2
Brisbane,2,14,1995,70.7
Brisbane,2,15,1995,74
Brisbane,2,16,1995,76.9
Brisbane,2,17,1995,78.5
Brisbane,2,18,1995,75
Brisbane,2,19,1995,73.4
Brisbane,2,20,1995,75.9
Brisbane,2,21,1995,74.1
Brisbane,2,22,1995,74.7
Brisbane,2,23,1995,75.8
Brisbane,2,24,1995,72.3
Brisbane,2,25,1995,71.5
Brisbane,2,26,1995,71.5
Brisbane,2,27,1995,73.5
Brisbane,2,28,1995,73.5
Brisbane,3,1,1995,76
Brisbane,3,2,1995,75.5
Brisbane,3,3,1995,73.8
Brisbane,3,4,1995,74.2
Brisbane,3,5,1995,75.9
Brisbane,3,6,1995,78.7
Brisbane,3,7,1995,79.8
Brisbane,3,8,1995,82.3
Brisbane,3,9,1995,81.6
Brisbane,3,10,1995,72.8
Brisbane,3,11,1995,70.3
Brisbane,3,12,1995,70.6
Brisbane,3,13,1995,73.4
Brisbane,3,14,1995,69.1
Brisbane,3,15,1995,73.7
Brisbane,3,16,1995,71.7
Brisbane,3,17,1995,70.4
Brisbane,3,18,1995,73.5
Brisbane,3,19,1995,72.5
Brisbane,3,20,1995,73.7
Brisbane,3,21,1995,69.8
Brisbane,3,22,1995,71.9
Brisbane,3,23,1995,73.6
Brisbane,3,24,1995,74.2
Brisbane,3,25,1995,77.4
Brisbane,3,26,1995,69.8
Brisbane,3,27,1995,71.4
Brisbane,3,28,1995,72.8
Brisbane,3,29,1995,71.7
Brisbane,3,30,1995,69.5
Brisbane,3,31,1995,70.3
Brisbane,4,1,1995,74.2
Brisbane,4,2,1995,72.2
Brisbane,4,3,1995,71.1
Brisbane,4,4,1995,71.4
Brisbane,4,5,1995,69.8
Brisbane,4,6,1995,71.3
Brisbane,4,7,1995,66.3
Brisbane,4,8,1995,65.7
Brisbane,4,9,1995,66.4
Brisbane,4,10,1995,65.6
Brisbane,4,11,1995,64.4
Brisbane,4,12,1995,67.5
Brisbane,4,13,1995,68.3
Brisbane,4,14,1995,65
Brisbane,4,15,1995,66.6
Brisbane,4,16,1995,68.2
Brisbane,4,17,1995,70.4
Brisbane,4,18,1995,69.5
Brisbane,4,19,1995,69.9
Brisbane,4,20,1995,69.8
Brisbane,4,21,1995,71.6
Brisbane,4,22,1995,69
Brisbane,4,23,1995,68.7
Brisbane,4,24,1995,67.5
Brisbane,4,25,1995,70.8
Brisbane,4,26,1995,66.3
Brisbane,4,27,1995,67.9
Brisbane,4,28,1995,68.6
Brisbane,4,29,1995,69.3
